date,weapon,age,gender,state
4/8/2016,knife,43,M,MI
4/9/2016,gun,27,M,NJ
4/9/2016,gun,19,M,PA
4/10/2016,gun,39,M,CA
4/10/2016,knife,30,M,NY
4/10/2016,knife,28,M,CA
4/11/2016,gun,22,M,NV
4/11/2016,gun,16,M,IL
4/12/2016,unarmed,40,M,CO
4/12/2016,gun,38,M,IL
4/12/2016,vehicle,20,M,FL
4/13/2016,undetermined,35,M,CA
4/13/2016,gun,52,M,TX
4/13/2016,gun,26,M,TN
4/14/2016,unarmed,54,M,KS
4/15/2016,baseball bat,38,M,CA
4/15/2016,gun,52,M,OK
4/15/2016,undetermined,26,M,IN
4/16/2016,gun,53,M,IL
4/17/2016,gun,35,F,OH
4/17/2016,unarmed,22,M,TX
4/17/2016,gun,31,M,NJ
4/17/2016,gun,32,M,NY
4/17/2016,vehicle,37,M,NY
4/18/2016,gun,28,M,MD
4/18/2016,gun,18,M,GA
4/19/2016,gun,41,M,NC
4/19/2016,gun,15,M,MO
4/19/2016,gun,38,M,AL
4/20/2016,gun,41,M,FL
4/20/2016,undetermined,52,M,AR
4/21/2016,knife,48,M,MA
4/22/2016,knife,29,M,TX
4/22/2016,knife,51,M,NY
4/23/2016,vehicle,21,M,FL
4/23/2016,gun,24,M,AZ
4/23/2016,gun,18,M,WI
4/23/2016,gun,30,M,VA
4/23/2016,vehicle,33,M,AR
4/25/2016,gun,60,F,NC
4/26/2016,gun,28,M,CO
4/26/2016,gun,26,M,VA
4/26/2016,gun,24,F,NM
4/26/2016,gun,44,M,TX
4/27/2016,gun,36,M,UT
4/27/2016,machete,34,M,GA
4/27/2016,gun,21,M,CO
4/28/2016,knife,37,M,FL
4/28/2016,gun,53,M,ID
4/28/2016,knife,45,M,WA
4/28/2016,vehicle,24,M,TX
4/29/2016,vehicle,48,M,MO
4/30/2016,knife,42,M,WI
4/30/2016,knife,33,M,UT
4/30/2016,vehicle,55,M,AZ
4/30/2016,knife,28,M,CA
5/1/2016,toy weapon,25,M,FL
5/1/2016,gun,28,M,TN
5/2/2016,gun,52,M,SC
5/3/2016,knife,59,M,CA
5/4/2016,vehicle,52,M,PA
5/4/2016,gun,39,M,WA
5/4/2016,knife,18,M,CA
5/4/2016,undetermined,40,M,MO
5/5/2016,vehicle,36,M,LA
5/5/2016,gun,38,M,WI
5/5/2016,gun,26,F,FL
5/6/2016,gun,37,M,WV
5/7/2016,gun,29,M,WA
5/7/2016,gun,37,M,FL
5/7/2016,knife,29,M,ME
5/8/2016,toy weapon,21,M,CA
5/9/2016,toy weapon,33,M,TX
5/9/2016,gun,33,M,MN
5/9/2016,unarmed,23,M,MS
5/9/2016,gun,26,M,IL
5/9/2016,gun,59,M,FL
5/9/2016,gun,29,M,TX
5/10/2016,knife,28,M,MA
5/11/2016,gun,35,M,CO
5/11/2016,vehicle,33,M,CA
5/11/2016,gun,24,M,CO
5/11/2016,gun,37,M,OK
5/13/2016,gun,28,M,CA
5/14/2016,knife,19,M,FL
5/14/2016,gun,43,M,AZ
5/14/2016,gun,59,M,FL
5/14/2016,gun,34,M,GA
5/15/2016,gun,35,M,IL
5/16/2016,gun,23,M,GA
5/17/2016,ax,36,M,CA
5/18/2016,knife,46,M,NY
5/18/2016,gun,44,M,MO
5/18/2016,gun,20,M,AZ
5/19/2016,unarmed,30,M,NV
5/19/2016,unarmed,29,F,CA
5/19/2016,knife,35,M,CA
5/19/2016,gun,36,M,KY
5/19/2016,gun,22,M,FL
5/20/2016,knife,31,M,NE
5/21/2016,gun,63,M,SC
5/21/2016,unarmed,38,M,OR
5/21/2016,gun,31,M,AZ
5/22/2016,unarmed,27,M,FL
5/22/2016,gun,35,M,MA
5/22/2016,unarmed,22,M,FL
5/22/2016,gun,28,M,CO
5/23/2016,gun,26,M,AZ
5/24/2016,knife,22,M,OR
5/24/2016,Taser,57,M,MO
5/24/2016,gun,31,M,NM
5/25/2016,knife,43,M,OK
5/25/2016,vehicle,24,M,FL
5/26/2016,gun,29,M,MN
5/26/2016,gun,43,M,IL
5/26/2016,gun,37,M,TX
5/26/2016,undetermined,21,M,IL
5/26/2016,gun,19,M,CA
5/26/2016,knife,37,F,FL
5/26/2016,gun,25,M,NM
5/27/2016,gun,59,M,IN
5/28/2016,gun,50,M,AL
5/28/2016,gun,58,M,NM
5/29/2016,gun,25,M,TX
5/29/2016,knife,32,M,FL
5/29/2016,gun,53,M,NC
5/29/2016,unarmed,38,M,NC
5/30/2016,gun,70,M,OR
5/30/2016,gun,33,M,AZ
5/31/2016,knife,36,M,OR
6/1/2016,gun,37,M,AZ
6/1/2016,gun,21,M,GA
6/1/2016,gun,51,M,KY
6/2/2016,knife,43,M,VA
6/2/2016,gun,18,M,NC
6/3/2016,knife,33,M,AK
6/3/2016,knife,34,M,AZ
6/4/2016,undetermined,31,M,CA
6/4/2016,gun,35,M,AL
6/4/2016,knife,31,M,IN
6/5/2016,gun,31,M,FL
6/6/2016,gun,23,M,OH
6/6/2016,knife,25,M,HI
6/7/2016,unarmed,25,M,OK
6/7/2016,vehicle,21,M,CA
6/7/2016,gun,49,M,VA
6/7/2016,gun,63,M,GA
6/8/2016,gun,43,M,MO
6/9/2016,gun,34,M,AL
6/9/2016,gun,38,M,PA
6/9/2016,gun,52,M,TX
6/9/2016,gun,68,M,MI
6/9/2016,baton,37,M,AZ
6/10/2016,gun,31,M,CA
6/10/2016,baseball bat,29,M,NC
6/10/2016,gun,32,M,CO
6/10/2016,gun,50,M,WA
6/11/2016,gun,27,M,MS
6/11/2016,spear,31,M,CA
6/12/2016,gun,29,M,FL
6/12/2016,knife,23,M,UT
6/12/2016,gun,61,M,KY
6/13/2016,gun,33,M,NY
6/13/2016,gun,18,M,AL
6/13/2016,gun,80,M,RI
6/13/2016,undetermined,43,M,WA
6/14/2016,vehicle,50,M,ID
6/14/2016,gun,47,M,MO
6/14/2016,gun,54,M,TX
6/14/2016,undetermined,22,M,CA
6/15/2016,vehicle,43,M,OK
6/15/2016,gun,38,M,WI
6/16/2016,gun,21,M,NM
6/16/2016,gun,36,M,MT
6/16/2016,vehicle,30,M,CO
6/16/2016,gun,37,M,OH
6/18/2016,toy weapon,34,M,AL
6/18/2016,vehicle,17,M,CA
6/18/2016,unarmed,37,M,MS
6/19/2016,gun,25,M,NY
6/19/2016,gun,30,M,FL
6/20/2016,gun,23,M,SC
6/20/2016,knife,20,M,AZ
6/21/2016,toy weapon,19,M,NH
6/21/2016,gun,50,M,WY
6/21/2016,undetermined,24,M,NC
6/22/2016,gun,25,M,CO
